artist_name,track_id,track_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,duration
Daddy Yankee,5w9c2J52mkdntKOmRLeM2m,Con Calma,0.11,0.737,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656,100,193.0
Post Malone,6MWtB6iiXyIwun0YzU6DFP,Wow.,0.163,0.833,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,0.385,98,150.0
Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.308,0.708,0.418,0.093,0,0.1,-10.998,1,0.368,131.926,4,0.578,98,194.0
Post Malone,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,0.52,0.744,0.494,0.0,2,0.0716,-5.563,1,0.0699,89.972,4,0.927,98,158.0
Jonas Brothers,4y3OI86AEP6PQoDE6olYhO,Sucker,0.0427,0.842,0.734,0.0,1,0.106,-5.065,0,0.0588,137.958,4,0.952,98,181.0
Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",0.0421,0.726,0.554,0.0,5,0.106,-5.29,0,0.0917,169.999,4,0.335,97,190.0
Sam Smith,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),0.45,0.741,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347,96,171.0
Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,Shallow,0.371,0.572,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323,96,216.0
Ariana Grande,14msK75pk3pA33pzPVNtBF,7 rings,0.578,0.725,0.321,0.0,1,0.0884,-10.744,0,0.323,70.142,4,0.319,96,179.0
Marshmello,2dpaYNEQHiRxtZbfNsse99,Happier,0.191,0.687,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671,96,214.0
Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533,96,202.0
Ava Max,25sgk305KZfyuqVBQIahim,Sweet but Psycho,0.0691,0.719,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628,96,187.0
Pedro Capó,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,0.323,0.826,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761,96,238.0
Lil Nas X,53CJANUxooaqGOtdsBTh7O,Old Town Road,0.0361,0.908,0.517,1.73e-06,1,0.0949,-6.063,1,0.129,136.019,4,0.471,95,113.0
Lauv,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,0.176,0.599,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,0.534,95,163.0
Mabel,5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,0.296,0.674,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234,95,178.0
Anuel Aa,5W83ErFkO3aKAIS1WMi6u0,Secreto,0.602,0.807,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706,95,259.0
Ozuna,7uH27oIt4a6cIFCA8ZPcyG,Baila Baila Baila,0.0361,0.816,0.754,0.0,11,0.217,-2.75,0,0.111,99.966,4,0.533,95,158.0
J. Cole,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,0.149,0.837,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.463,95,214.0
Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),0.016,0.807,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606,94,229.0
Maluma,31UjYv5vLsDkzchJOtUMtW,HP,0.252,0.837,0.791,1.14e-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618,94,184.0
A Boogie Wit da Hoodie,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),0.0485,0.892,0.53,0.0,6,0.107,-7.644,0,0.239,92.997,4,0.403,94,188.0
Dalex,224EVTFiLsdQignUFLvDeH,Pa Mí - Remix,0.753,0.688,0.62,5.27e-06,11,0.158,-8.029,0,0.22,170.018,4,0.727,94,361.0
YNW Melly,7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,0.145,0.759,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74,94,268.0
Marshmello,5icOoE6VgqFKohjWWNp0Ac,Here With Me,0.0623,0.791,0.565,0.0,5,0.156,-3.933,0,0.0439,99.961,4,0.181,94,156.0
Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,0.74,0.652,0.557,0.0,1,0.124,-5.714,0,0.0318,150.073,4,0.483,94,169.0
Khalid,0rTV5WefWd1J3OwIheTzxM,Talk,0.0501,0.9,0.4,0.0,0,0.0876,-8.443,1,0.124,136.001,4,0.338,94,197.0
Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,High Hopes,0.193,0.579,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,4,0.681,94,191.0
Meek Mill,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),0.259,0.889,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544,94,181.0
DJ Snake,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.153,0.841,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591,94,212.0
Billie Eilish,4SSnFejRGlZikf02HLewEF,bury a friend,0.752,0.888,0.395,0.14,8,0.106,-14.645,1,0.324,120.058,4,0.162,93,193.0
Paulo Londra,6FyRXC8tJUh863JCkyWqtk,Adan y Eva,0.323,0.767,0.709,0.0,1,0.0676,-4.47,1,0.336,171.993,4,0.72,93,259.0
Travis Scott,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,0.00513,0.834,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446,93,313.0
Lil Nas X,6u7jPi22kF8CTQ3rb9DHE7,Old Town Road - Remix,0.0533,0.878,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639,93,157.0
Bad Bunny,116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),0.0141,0.817,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158,93,210.0
benny blanco,1WSGTYKLEpKfNQYYW5Oymt,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",0.404,0.541,0.468,3.65e-06,10,0.358,-4.039,0,0.362,95.266,4,0.69,93,158.0
Mau y Ricky,0s5DNDV6LAKn2u2Ufa3VjQ,Desconocidos,0.146,0.709,0.771,3.29e-06,7,0.249,-4.598,1,0.166,174.006,4,0.709,92,204.0
Piso 21,059bcIhyc2SBwm6sw2AZzd,Te Vi,0.0446,0.877,0.777,3.46e-05,1,0.0863,-4.246,1,0.117,102.02,4,0.706,92,232.0
Mustard,63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos),0.172,0.68,0.559,0.0,0,0.318,-5.545,1,0.129,202.006,4,0.137,92,195.0
Cardi B,0PG9fbaaHFHfre2gUVo7AN,Please Me,0.0642,0.747,0.57,0.0,1,0.0832,-6.711,1,0.081,133.992,4,0.65,92,201.0
Billie Eilish,3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,0.389,0.85,0.353,6.68e-06,7,0.8,-10.267,1,0.334,118.071,4,0.329,92,222.0
Lewis Capaldi,2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,0.751,0.501,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446,92,182.0
Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),0.934,0.351,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,0.12,92,200.0
Billie Eilish,4QIo4oxwzzafcBWkKjDpXY,xanny,0.778,0.512,0.128,0.00118,9,0.277,-17.827,1,0.313,109.102,4,0.0473,91,244.0
Juice WRLD,6Hj9jySrnFppAI0sEMCZpJ,Robbery,0.328,0.685,0.692,0.0,2,0.153,-5.122,1,0.0457,159.966,5,0.578,91,240.0
YNW Melly,6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),0.457,0.661,0.44,0.0,2,0.128,-9.104,1,0.0803,149.937,4,0.352,91,230.0
The Chainsmokers,11cDEev79fPKi6uJCjUhu8,Who Do You Love (with 5 Seconds of Summer),0.00791,0.51,0.835,0.0,3,0.219,-4.673,1,0.0447,140.024,4,0.435,91,227.0
Blueface,3oh6SCCeLuXhFpEyepla6G,Thotiana,0.18,0.906,0.382,0.0,10,0.113,-12.89,0,0.269,104.025,4,0.391,91,129.0
Billie Eilish,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,0.316,0.741,0.447,0.121,8,0.187,-9.015,0,0.388,184.98,4,0.551,91,169.0
Khalid,1DUSuNhF8P5vUGNPpQiZa5,My Bad,0.543,0.645,0.568,0.266,5,0.257,-9.127,0,0.0823,84.999,4,0.391,91,166.0
Anuel Aa,1LiN0Z98FkR1t0m8KmLcAH,Amanece,0.437,0.79,0.631,0.0,8,0.158,-5.549,0,0.0425,94.039,4,0.889,91,190.0
Dean Lewis,3EPXxR3ImUwfayaurPi3cm,Be Alright,0.697,0.553,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443,91,196.0
Sebastian Yatra,5BDP2tky8oMQJPS33frKVp,Un Año,0.148,0.771,0.382,0.0,1,0.104,-6.808,0,0.0514,94.931,4,0.535,91,164.0
Juice WRLD,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,0.364,0.556,0.574,0.0,6,0.341,-7.197,0,0.222,83.969,4,0.211,91,240.0
Lil Baby,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),0.103,0.896,0.671,0.0,1,0.552,-6.977,0,0.289,112.502,4,0.358,91,146.0
Kodak Black,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),0.0521,0.861,0.603,0.0,8,0.0924,-5.788,0,0.176,98.043,4,0.504,91,229.0
XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,SAD!,0.258,0.74,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473,91,167.0
Ellie Goulding,5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),0.0969,0.574,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,4,0.492,91,183.0
Post Malone,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),0.117,0.587,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14,91,218.0
21 Savage,2t8yVaLvJ0RenpXUIAC52d,a lot,0.0395,0.837,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.274,91,289.0
benny blanco,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),0.555,0.56,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,4,0.319,90,174.0
Imagine Dragons,2RSHsoi04658QL5xgQVov3,Bad Liar,0.0722,0.383,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,4,0.0827,90,261.0
Daddy Yankee,6MJUCumnQsQEKbCy28tbCP,Adictiva,0.291,0.788,0.771,5.62e-05,4,0.172,-3.206,0,0.0563,99.038,4,0.701,90,208.0
Calvin Harris,5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),0.0119,0.781,0.768,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486,90,213.0
Billie Eilish,3Tc57t9l2O8FwQZtQOvPXK,my strange addiction,0.387,0.938,0.311,0.000126,1,0.104,-11.206,0,0.376,100.014,4,0.557,90,180.0
Manuel Turizo,3g4UyIcQwutiG0TfW32GnX,Esclavo de Tus Besos,0.113,0.805,0.671,0.0,5,0.278,-5.316,1,0.111,90.979,4,0.522,90,219.0
XXXTENTACION,0JP9xo3adEtGSdUEISiszL,Moonlight,0.556,0.921,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711,90,135.0
Sheck Wes,1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,0.194,0.729,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261,90,184.0
Mark Ronson,27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.00987,0.601,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244,90,217.0
Ava Max,0uUNN1nSoUx1A4fkDCWDQ7,So Am I,0.0754,0.684,0.677,0.0,6,0.133,-4.034,1,0.0464,130.141,4,0.595,89,184.0
Dynoro,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,0.176,0.694,0.77,1.1e-05,6,0.118,-5.335,1,0.149,125.905,4,0.163,89,185.0
Bebe Rexha,0i0wnv9UoFdZ5MfuFGQzMy,Last Hurrah,0.175,0.514,0.618,0.0,11,0.117,-4.585,0,0.0317,84.259,4,0.401,89,150.0
Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,0.04,0.699,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354,89,206.0
P!nk,7DHApOHsIFo7EyfieArYGE,Walk Me Home,0.0519,0.652,0.453,0.0,1,0.179,-6.119,1,0.0445,88.038,3,0.432,89,177.0
Tyga,5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),0.0236,0.884,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342,89,233.0
Ariana Grande,6tsOcBnaKgzK22yEiqRh8P,MONOPOLY (with Victoria Monét),0.704,0.892,0.507,3.14e-05,0,0.109,-8.282,1,0.378,143.96,4,0.695,89,159.0
Drake,6DCZcSspjsKoFjzjrWoCdn,God's Plan,0.0332,0.754,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357,89,199.0
Nicky Jam,6v0lAdFF4haL8xjBIUjtOw,Te Robaré,0.241,0.673,0.752,4.51e-05,2,0.0813,-3.572,0,0.0561,175.997,4,0.797,89,202.0
Post Malone,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),0.58,0.739,0.559,0.0,8,0.112,-8.011,1,0.117,140.124,4,0.439,89,221.0
Cardi B,58q2HKrzhC3ozto2nDdN4z,I Like It,0.099,0.816,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65,89,253.0
Alan Walker,4n7jnSxVLd8QioibtTDBDq,On My Way,0.0209,0.509,0.689,0.0,1,0.301,-4.929,0,0.102,170.087,4,0.297,89,194.0
Billie Eilish,6CcJMwBtXByIz4zQLzFkKc,i love you,0.955,0.423,0.123,0.00518,0,0.11,-18.41,1,0.0391,137.045,4,0.0972,89,292.0
Billie Eilish,7qEKqBCD2vE5vIBsrUitpD,ilomilo,0.708,0.86,0.425,0.39,5,0.0909,-15.158,0,0.0573,120.016,4,0.564,89,156.0
Billie Eilish,0tMSssfxAL2oV8Vri0mFHE,listen before i go,0.934,0.364,0.0549,0.00866,0,0.334,-23.237,1,0.0435,97.534,4,0.0784,88,243.0
XXXTENTACION,2LskIZrCeLxRvCiGP8gxlh,Arms Around You (feat. Maluma & Swae Lee),0.0302,0.703,0.723,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,4,0.288,88,199.0
Khalid,6zeeWid2sgw4lap2jV61PZ,Better,0.0765,0.596,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,0.112,88,229.0
Camila Cabello,1rfofaqEpACxVEHIZBJe6W,Havana,0.184,0.765,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394,88,217.0
Drake,0TlLq3lA83rQOYtrqBqSct,Nonstop,0.0164,0.912,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,4,0.422,88,239.0
Ariana Grande,2hloaUoRonYssMuqLCBLTX,bloodline,0.0815,0.758,0.665,0.000157,2,0.216,-5.188,0,0.0774,151.976,4,0.643,88,217.0
Flipp Dinero,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,0.107,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742,88,196.0
Drake,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,0.0589,0.835,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35,88,218.0
Khalid,09oZ9eXQ2fo6YDrPzJqAoP,Outta My Head (with John Mayer),0.0174,0.729,0.545,0.000274,0,0.369,-7.818,1,0.0316,103.012,4,0.514,88,177.0
Lady Gaga,2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,0.299,0.553,0.502,0.0,0,0.764,-5.972,1,0.0409,129.976,4,0.296,88,210.0
Gucci Mane,0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,0.00381,0.8,0.578,0.0,4,0.359,-5.144,0,0.0485,143.01,4,0.367,88,205.0
Juice WRLD,6MjNilJCVKJq0LfFvo5jWJ,Fast,0.426,0.623,0.608,0.0,1,0.105,-5.937,0,0.0434,84.98,4,0.263,88,209.0
Ariana Grande,1TEL6MlSSVLSdhOSddidlJ,needy,0.78,0.647,0.309,7.41e-06,7,0.202,-7.948,0,0.0366,87.045,4,0.195,88,172.0
Billie Eilish,14JzyD6FlBD5z0wV5P07YI,when the party's over,0.979,0.498,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205,88,200.0
Cardi B,2GGMabyHXnJmjY6CXhhB2e,Money,0.00534,0.95,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,4,0.219,88,184.0
Bad Bunny,278kSqsZIiYp8p3QjYAqa8,NI BIEN NI MAL,0.556,0.826,0.449,1.85e-05,5,0.273,-8.33,0,0.0674,128.028,4,0.337,88,236.0
DJ Luian,4lzxJ4jCuFDXXGkE1LmpKR,Verte Ir,0.391,0.857,0.647,1.2e-06,11,0.0842,-4.152,0,0.0984,95.982,4,0.553,88,268.0
J Balvin,2D3z17LBMJ2HEHeBFFjTLi,Reggaeton,0.0165,0.747,0.74,9.94e-05,4,0.101,-4.325,0,0.191,176.059,4,0.552,88,159.0
Robin Schulz,1rCcsYnmqbMYdkG7kS9GC5,Speechless (feat. Erika Sirola),0.0161,0.574,0.728,1.42e-06,1,0.0851,-4.777,1,0.062,125.047,4,0.266,88,215.0
DJ Luian,7dNwJbsT0sg1le5kVugGJb,Bubalu,0.616,0.8,0.355,0.0,6,0.118,-10.47,0,0.0895,145.929,4,0.253,88,228.0
Imagine Dragons,2FY7b99s15jUprqC0M5NCT,Natural,0.217,0.704,0.611,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,0.22,88,189.0
Calvin Harris,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592,88,215.0
Becky G,7dNwJbsT0sg1le5kVugGJb,Bubalu,0.616,0.8,0.355,0.0,6,0.118,-10.47,0,0.0895,145.929,4,0.253,88,228.0
Bazzi,4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),0.346,0.638,0.717,0.0,2,0.105,-4.722,1,0.0337,100.027,4,0.249,88,180.0
Wisin & Yandel,7BuHdm4lQqcyG3qTwdkxus,Aullando,0.184,0.8,0.74,0.0,10,0.0558,-4.52,0,0.0479,90.035,4,0.775,88,226.0
