id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),100,1,"'Justin Bieber', 'Daniel Caesar', 'Giveon'","'1uNFoZAHBGtllmzznpCI3s', '20wkVLutqVOYrc0kxFs7rA', '4fxd5Ee7UefO4CUXgwJ7IP'",0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4,198.0
7lPN2DXiMsVn7XUKtOW1CS,drivers license,99,1,'Olivia Rodrigo','1McMsnEElThX1knmY4oliG',0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4,242.0
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,98,0,'Masked Wolf','1uU7g3DNSbsu0QjSEqZtEd',0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,4,133.0
6tDDoYIxWvMLTdKpjFkc1B,telepatía,97,0,'Kali Uchis','1U1el3k54VvEUzo3ybLPlM',0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,4,160.0
5QO79kh1waicV47BqGRL3g,Save Your Tears,97,1,'The Weeknd','1Xyo4u8uXC1ZmMpatF05PJ',0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4,216.0
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,96,0,"'Bruno Mars', 'Anderson .Paak', 'Silk Sonic'","'0du5cEVh5yTK9QJze8zA0C', '3jK9MiCrA42lLAdMGUZpwa', '6PvvGcCY2XtUcSRld1Wilr'",0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4,242.0
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,96,0,'The Weeknd','1Xyo4u8uXC1ZmMpatF05PJ',0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200.0
6f3Slt0GbA2bPZlz0aIFXN,The Business,95,0,'Tiësto','2o5jDhtHVPhrJdv3cEQ99Z',0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,4,164.0
7Bk0uXKk1uPT0XuQbpFzvs,Fiel,94,0,"'Los Legendarios', 'Wisin', 'Jhay Cortez'","'0n6sKrG0xKAf8xmdqeNGke', '3E6xrwgnVfYCrCs0ePERDz', '0EFisYRi20PTADoJrifHrz'",0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005,4,262.0
1xK1Gg9SxG8fy2Ya373oqb,Bandido,94,0,"'Myke Towers', 'Juhn'","'7iK8PXO48WeuP03g8YR51W', '2LmcxBak1alK1bf7d1beTr'",0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,4,233.0
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,94,0,"'Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine'","'7i9j813KFoSBMldGqlh2Z1', '1gALaWbNDnwS2ECV09sn2A', '4L2dV3zY7RmkeiNO035Fi0', '3Edve4VIATi0OZngclQlkN'",0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,4,169.0
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,94,1,'The Kid LAROI','2tIP7SsRs7vjIcLrU85W8J',0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4,161.0
60ynsPSSKe6O3sfwRnIBRf,Streets,94,1,'Doja Cat','5cj0lLjcoR7YOSnhnX0Po5',0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,4,227.0
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,94,0,'Giveon','4fxd5Ee7UefO4CUXgwJ7IP',0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3,198.0
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,93,0,"'Bad Bunny', 'ROSALÍA'","'4q3ewBCX7sLwd24euuV69X', '7ltDVBr6mKbRvohxheJ9h1'",0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,4,203.0
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,93,1,'SZA','7tYKF4w9nC0nq9CsPZTHyP',0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4,279.0
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),92,0,"'MEDUZA', 'Dermot Kennedy'","'0xRXCcSX89eobfrshSVdyu', '5KNNVgR6LBIABRIomyCwKJ'",0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,4,168.0
47EiUVwUp4C9fGccaPuUCS,DÁKITI,92,1,"'Bad Bunny', 'Jhay Cortez'","'4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz'",0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,205.0
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,92,0,'Harry Styles','6KImCVD70vtIoJWnq6nGn3',0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,174.0
35mvY5S1H3J2QZyna3TFe0,positions,92,1,'Ariana Grande','66CXWjxzNUsdJxJ2JdwvnR',0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4,172.0
